 17-Feb-2013       (cy_0036.dat - 1.0*Aver(cy_0035.dat,cy_0037.dat) /  2.6100 
 cy_0036.dat  Conc = .26E+01  N1 =    1  N2 = 1639
 cy_0035.dat  Conc = 0.0d+0   N1 =    1  N2 = 1639
 cy_0037.dat  Conc = 0.0d+0   N1 =    1  N2 = 1639
  0.166206E+00  0.796310E+03  0.220672E+02
  0.168858E+00  0.754372E+03  0.212085E+02
  0.171511E+00  0.757552E+03  0.213444E+02
  0.174163E+00  0.734565E+03  0.208211E+02
  0.176815E+00  0.760452E+03  0.203285E+02
  0.179467E+00  0.722665E+03  0.192712E+02
  0.182119E+00  0.732736E+03  0.199796E+02
  0.184772E+00  0.776389E+03  0.196189E+02
  0.187424E+00  0.753404E+03  0.187582E+02
  0.190076E+00  0.754092E+03  0.181467E+02
  0.192728E+00  0.716375E+03  0.183725E+02
  0.195380E+00  0.743571E+03  0.179557E+02
  0.198032E+00  0.727004E+03  0.180669E+02
  0.200685E+00  0.735839E+03  0.168232E+02
  0.203337E+00  0.741054E+03  0.170995E+02
  0.205989E+00  0.742159E+03  0.168906E+02
  0.208641E+00  0.798877E+03  0.171500E+02
  0.211293E+00  0.723096E+03  0.165376E+02
  0.213946E+00  0.745443E+03  0.160016E+02
  0.216598E+00  0.752686E+03  0.166935E+02
  0.219250E+00  0.755826E+03  0.159636E+02
  0.221902E+00  0.719027E+03  0.156475E+02
  0.224554E+00  0.737674E+03  0.156668E+02
  0.227206E+00  0.743540E+03  0.153228E+02
  0.229859E+00  0.747663E+03  0.156572E+02
  0.232511E+00  0.739651E+03  0.146793E+02
  0.235163E+00  0.773479E+03  0.154890E+02
  0.237815E+00  0.753971E+03  0.148171E+02
  0.240467E+00  0.764148E+03  0.149112E+02
  0.243120E+00  0.735324E+03  0.149943E+02
  0.245772E+00  0.748728E+03  0.140029E+02
  0.248424E+00  0.745213E+03  0.146975E+02
  0.251076E+00  0.751623E+03  0.144200E+02
  0.253728E+00  0.726929E+03  0.141241E+02
  0.256380E+00  0.742368E+03  0.142026E+02
  0.259033E+00  0.763705E+03  0.138175E+02
  0.261685E+00  0.744843E+03  0.143835E+02
  0.264337E+00  0.748531E+03  0.138698E+02
  0.266989E+00  0.721467E+03  0.137079E+02
  0.269641E+00  0.732751E+03  0.139891E+02
  0.272294E+00  0.736036E+03  0.133470E+02
  0.274946E+00  0.728690E+03  0.139812E+02
  0.277598E+00  0.761059E+03  0.133940E+02
  0.280250E+00  0.723958E+03  0.134738E+02
  0.282902E+00  0.726772E+03  0.135385E+02
  0.285554E+00  0.734249E+03  0.130440E+02
  0.288207E+00  0.735349E+03  0.134604E+02
  0.290859E+00  0.725837E+03  0.128818E+02
  0.293511E+00  0.720266E+03  0.130553E+02
  0.296163E+00  0.744071E+03  0.129900E+02
  0.298815E+00  0.712824E+03  0.128253E+02
  0.301468E+00  0.728063E+03  0.128421E+02
  0.304120E+00  0.730483E+03  0.125114E+02
  0.306772E+00  0.731531E+03  0.126117E+02
  0.309424E+00  0.714013E+03  0.124762E+02
  0.312076E+00  0.721259E+03  0.121192E+02
  0.314728E+00  0.708531E+03  0.123537E+02
  0.317381E+00  0.711854E+03  0.123992E+02
  0.320033E+00  0.724793E+03  0.123251E+02
  0.322685E+00  0.711487E+03  0.119879E+02
  0.325337E+00  0.717274E+03  0.120595E+02
  0.327989E+00  0.703672E+03  0.120332E+02
  0.330642E+00  0.718146E+03  0.121211E+02
  0.333294E+00  0.738605E+03  0.118750E+02
  0.335946E+00  0.730042E+03  0.115075E+02
  0.338598E+00  0.735762E+03  0.119308E+02
  0.341250E+00  0.698502E+03  0.116507E+02
  0.343902E+00  0.690008E+03  0.118755E+02
  0.346555E+00  0.712732E+03  0.114633E+02
  0.349207E+00  0.698023E+03  0.113908E+02
  0.351859E+00  0.684561E+03  0.114028E+02
  0.354511E+00  0.722615E+03  0.115142E+02
  0.357163E+00  0.699582E+03  0.114391E+02
  0.359816E+00  0.707594E+03  0.111342E+02
  0.362468E+00  0.694862E+03  0.111811E+02
  0.365120E+00  0.694642E+03  0.114290E+02
  0.367772E+00  0.704502E+03  0.109473E+02
  0.370424E+00  0.699634E+03  0.111698E+02
  0.373076E+00  0.716561E+03  0.110340E+02
  0.375729E+00  0.684274E+03  0.109885E+02
  0.378381E+00  0.704851E+03  0.110489E+02
  0.381033E+00  0.697347E+03  0.107406E+02
  0.383685E+00  0.723188E+03  0.109952E+02
  0.386337E+00  0.697418E+03  0.107349E+02
  0.388989E+00  0.696651E+03  0.107619E+02
  0.391642E+00  0.710791E+03  0.104939E+02
  0.394294E+00  0.693148E+03  0.106523E+02
  0.396946E+00  0.701916E+03  0.107491E+02
  0.399598E+00  0.689745E+03  0.106245E+02
  0.402250E+00  0.691337E+03  0.103627E+02
  0.404903E+00  0.690276E+03  0.104155E+02
  0.407555E+00  0.679519E+03  0.104539E+02
  0.410207E+00  0.685006E+03  0.105211E+02
  0.412859E+00  0.691174E+03  0.101499E+02
  0.415511E+00  0.679437E+03  0.103857E+02
  0.418163E+00  0.688534E+03  0.100722E+02
  0.420816E+00  0.679331E+03  0.102715E+02
  0.423468E+00  0.687462E+03  0.101969E+02
  0.426120E+00  0.684912E+03  0.999897E+01
  0.428772E+00  0.685931E+03  0.102391E+02
  0.431424E+00  0.695770E+03  0.100656E+02
  0.434077E+00  0.684657E+03  0.100681E+02
  0.436729E+00  0.679517E+03  0.975271E+01
  0.439381E+00  0.690642E+03  0.102081E+02
  0.442033E+00  0.667914E+03  0.103612E+02
  0.444685E+00  0.653349E+03  0.101543E+02
  0.447337E+00  0.665025E+03  0.103193E+02
  0.449990E+00  0.656496E+03  0.100569E+02
  0.452642E+00  0.657328E+03  0.104330E+02
  0.455294E+00  0.675728E+03  0.104335E+02
  0.457946E+00  0.664494E+03  0.100332E+02
  0.460598E+00  0.664421E+03  0.104135E+02
  0.463251E+00  0.648224E+03  0.102704E+02
  0.465903E+00  0.681567E+03  0.104579E+02
  0.468555E+00  0.642404E+03  0.101502E+02
  0.471207E+00  0.676837E+03  0.102225E+02
  0.473859E+00  0.683538E+03  0.105267E+02
  0.476511E+00  0.657268E+03  0.102209E+02
  0.479164E+00  0.664234E+03  0.103796E+02
  0.481816E+00  0.671573E+03  0.101865E+02
  0.484468E+00  0.645738E+03  0.101894E+02
  0.487120E+00  0.674718E+03  0.104433E+02
  0.489772E+00  0.650464E+03  0.101432E+02
  0.492425E+00  0.640489E+03  0.101364E+02
  0.495077E+00  0.646469E+03  0.100830E+02
  0.497729E+00  0.651111E+03  0.102281E+02
  0.500381E+00  0.631931E+03  0.102872E+02
  0.503033E+00  0.626222E+03  0.995644E+01
  0.505685E+00  0.673538E+03  0.102854E+02
  0.508338E+00  0.627979E+03  0.100889E+02
  0.510990E+00  0.657898E+03  0.102090E+02
  0.513642E+00  0.654234E+03  0.102762E+02
  0.516294E+00  0.644619E+03  0.101247E+02
  0.518946E+00  0.631125E+03  0.103624E+02
  0.521599E+00  0.629031E+03  0.100010E+02
  0.524251E+00  0.630092E+03  0.102280E+02
  0.526903E+00  0.619810E+03  0.102358E+02
  0.529555E+00  0.624285E+03  0.101147E+02
  0.532207E+00  0.630303E+03  0.102925E+02
  0.534859E+00  0.637176E+03  0.100920E+02
  0.537512E+00  0.634726E+03  0.102008E+02
  0.540164E+00  0.629155E+03  0.100595E+02
  0.542816E+00  0.615862E+03  0.102345E+02
  0.545468E+00  0.632557E+03  0.103284E+02
