q	Intensity
[nm-1]	[a.u.]
0.0813802	0.0751629
0.088778	0.0692444
0.0887784	0.0692441
0.0961766	0.0644783
0.096177	0.0644781
0.10357	0.0594224
0.103575	0.0594157
0.11097	0.049307
0.110973	0.0493032
0.11837	0.0399588
0.118371	0.0399578
0.125769	0.0319114
0.12577	0.0319103
0.133168	0.0250332
0.13317	0.0250313
0.140566	0.0191423
0.14057	0.0191391
0.14796	0.0145549
0.147964	0.0145529
0.15536	0.0107517
0.155362	0.0107509
0.16276	0.00762349
0.170158	0.0052741
0.17016	0.00527347
0.177556	0.00354433
0.17756	0.00354339
0.18495	0.00239033
0.184955	0.00238986
0.19235	0.00168157
0.192353	0.00168144
0.19975	0.00134376
0.199751	0.00134375
0.207149	0.00128476
0.20715	0.00128475
0.214547	0.0014533
0.21455	0.00145337
0.221945	0.00177828
0.22195	0.0017785
0.22934	0.00222045
0.229343	0.00222067
0.23674	0.00273447
0.236741	0.00273454
0.244139	0.00329368
0.24414	0.00329375
0.251537	0.0038465
0.25154	0.00384672
0.258936	0.00438787
0.25894	0.00438816
0.26633	0.00488576
0.266334	0.004886
0.27373	0.00532562
0.273732	0.00532573
0.28113	0.00571468
0.288528	0.00599657
0.28853	0.00599664
0.295926	0.0062342
0.29593	0.00623432
0.30332	0.00632188
0.303324	0.00632189
0.31072	0.00633388
0.310722	0.00633386
0.31812	0.00626356
0.325518	0.0061081
0.32552	0.00610806
0.332916	0.00588681
0.33292	0.00588669
0.34031	0.00557017
0.340314	0.00556997
0.34771	0.00520275
0.347712	0.00520264
0.355109	0.00478195
0.35511	0.00478189
0.362507	0.00434653
0.36251	0.00434635
0.369905	0.00387321
0.36991	0.00387289
0.3773	0.00341046
0.377303	0.00341027
0.3847	0.00294881
0.384701	0.00294875
0.392099	0.00249428
0.3921	0.00249422
0.399497	0.00207105
0.3995	0.00207087
0.40689	0.0016839
0.406895	0.00168367
0.41429	0.00133823
0.414292	0.00133815
0.42169	0.00103479
0.429088	0.000774918
0.42909	0.000774849
0.436486	0.000561935
0.43649	0.000561818
0.44388	0.000397099
0.443884	0.000397034
0.45128	0.000280497
0.451281	0.000280487
0.458679	0.000207694
0.45868	0.000207684
0.466077	0.000173504
0.46608	0.00017349
0.47347	0.000174438
0.473475	0.000174462
0.48087	0.000208936
0.480872	0.000208953
0.48827	0.000269891
0.495668	0.000349169
0.49567	0.000349191
0.503065	0.000440196
0.50307	0.000440256
0.51046	0.000542334
0.510463	0.000542377
0.51786	0.000648708
0.525258	0.000751305
0.52526	0.000751332
0.532656	0.000846067
0.53266	0.000846118
0.54005	0.000929734
0.540053	0.000929763
0.54745	0.00100225
0.547451	0.00100226
0.554848	0.0010609
0.55485	0.00106091
0.562246	0.00110283
0.56225	0.00110286
0.56964	0.00112678
0.569643	0.00112679
0.57704	0.00113742
0.577041	0.00113742
0.584438	0.00112829
0.58444	0.00112829
0.591836	0.00109838
0.59184	0.00109836
0.59923	0.00105927
0.599233	0.00105925
0.60663	0.00100545
0.614028	0.000946572
0.61403	0.000946556
0.621425	0.00087548
0.62143	0.000875432
0.62882	0.000798341
0.628822	0.00079832
0.63622	0.000719285
0.643617	0.000640129
0.64362	0.000640097
0.65101	0.000558137
0.651014	0.000558095
0.65841	0.000478909
0.658412	0.000478888
0.665809	0.000402962
0.66581	0.000402952
0.673206	0.000330694
0.67321	0.000330656
0.6806	0.000267617
0.680603	0.000267595
0.688	0.000212981
0.695397	0.000165256
0.6954	0.000165237
0.70279	0.000124617
0.702795	0.000124595
0.71019	9.28481e-005
0.710192	9.28418e-005
0.717589	7.05754e-005
0.71759	7.05723e-005
0.724986	5.57638e-005
0.72499	5.57554e-005
0.73238	4.76054e-005
0.732383	4.76042e-005
0.73978	4.53983e-005
0.747177	5.05253e-005
0.74718	5.05273e-005
0.75457	5.9678e-005
0.754574	5.96847e-005
0.76197	7.16901e-005
0.761971	7.16922e-005
0.769367	8.69371e-005
0.76937	8.69434e-005
0.77676	0.000103806
0.776764	0.000103816
0.78416	0.000121963
0.784161	0.000121966
0.791558	0.000139457
0.79156	0.000139462
0.79895	0.000156465
0.798955	0.000156475
0.80635	0.000171965
0.806352	0.000171969
0.813748	0.000186995
0.81375	0.000186999
0.82114	0.000198655
0.821145	0.000198661
0.82854	0.000207568
0.828542	0.00020757
0.835938	0.00021423
0.83594	0.000214232
0.84333	0.000217572
0.843335	0.000217572
0.85073	0.000218553
0.850731	0.000218553
0.858128	0.000217112
0.85813	0.000217112
0.86552	0.000211716
0.865525	0.000211711
0.87292	0.000203687
0.872921	0.000203685
0.880318	0.000194717
0.88032	0.000194714
0.88771	0.000182834
0.887714	0.000182827
0.89511	0.000170528
0.902507	0.000158331
0.90251	0.000158326
0.9099	0.000145177
0.909903	0.000145172
0.9173	0.000131663
0.924696	0.000119061
0.9247	0.000119054
0.93209	0.000106388
0.932092	0.000106384
0.939488	9.33771e-005
0.93949	9.33736e-005
0.94688	8.26833e-005
0.946885	8.2678e-005
0.95428	7.46885e-005
0.954281	7.46874e-005
0.961677	6.58231e-005
0.96168	6.58198e-005
0.96907	5.92078e-005
0.969073	5.92059e-005
0.976469	5.43978e-005
0.97647	5.43971e-005
0.983865	4.92232e-005
0.98387	4.92198e-005
0.99126	4.74302e-005
0.991261	4.74302e-005
0.998657	4.78394e-005
0.99866	4.78393e-005
1.00605	4.86747e-005
1.0061	4.86825e-005
1.0134	5.10379e-005
1.01345	5.10546e-005
1.0208	5.30971e-005
1.02084	5.31103e-005
1.0282	5.51585e-005
1.02824	5.51812e-005
1.0356	5.95783e-005
1.03564	5.96004e-005
1.043	6.4356e-005
1.04303	6.43782e-005
1.0504	6.93254e-005
1.05043	6.93505e-005
1.0578	7.52944e-005
1.05782	7.53064e-005
1.0652	7.97314e-005
1.06522	7.97412e-005
1.0726	8.35349e-005
1.07262	8.35473e-005
1.08	8.85883e-005
1.08001	8.85957e-005
1.0874	9.2999e-005
1.08741	9.30041e-005
1.0948	9.68357e-005
1.1022	9.9078e-005
1.10959	0.000102676
1.1096	0.000102681
1.11699	0.000103727
1.117	0.000103728
1.12438	0.000104003
1.1244	0.000104005
